season,No.overall,No. inseason,Title,Directed by,Written by,Original air date,Summary
3,33,7,"""The Phoenix Saga, Part V: Child of Light""",Larry Houston,Mark Edward Edens,1994-09-09,"An emissary of the alien race the Shi'ar, Erik the Red, takes over the Eagle One space station. Compelled by mysterious visions, Professor Xavier sends the X-Men (minus Rogue who is out on a mission) to take the places of the astronaut crew (minus Storm and Jubilee who would remain with Xavier on Earth) which leads to a confrontation with Erik and his mind-controlled astronauts. While entering the Earth's atmosphere on a space shuttle, Jean Grey starts to become possessed by the all-powerful Phoenix Force which sensed her mental pleas for help.The space shuttle crash-lands in Jamaica Bay. Though the other X-Men are unscathed, Jean Grey's fate is unknown, until she flies into the air, displaying powers and a new costume she has never used before, and proclaims herself the ""Phoenix"" before collapsing, suffering from confusion, memory loss, and vast new powers. Meanwhile, Professor Xavier's pained psychic connection with an alien presence manifests in an Astral projection of Xavier's dark side who's hell-bent on destroying the X-Men.The X-Men and Banshee go to save Lilandra (a runaway Shi'ar royal who is the source of Xavier's painful psychic visions) from Juggernaut and Black Tom Cassidy. Lilandra reveals that she arrived on Earth seeking help in protecting The M'Kraan Crystal from her tyrannical brother D'Ken. Jean Grey continues to exhibit inexplicable symptoms and fully embraces the Phoenix persona to come to the rescue of the X-Men from Sh'iar Imperial Guard Gladiator.Phoenix transports most of the X-Men to Lilandra's ship (excluding Storm and Jubilee), where she has hidden the M'Kraan Crystal. A group of space pirates called the Starjammers attack and steal the M'Kraan Crystal from the X-Men. The Starjammer's Leader Corsair plots to use the Crystal as bait to assassinate D'Ken and convinces Cyclops to aid him in his plan, which goes terribly awry.D'Ken gets pulled into the Crystal and becomes one with the universe inside it. This forces both the X-Men and the Imperial Guard to team up to desperately combat the seemingly omnipotent dictator to no avail as the Earth is suffering a multitude of environmental disasters thanks to the unstable M'Krann Crystal. Can the return of Phoenix help turn the tide?"
3,34,8,"""No Mutant Is an Island""[a]",Larry Houston,Sandy Scesny,1996-09-21,"Cyclops, still in mourning after Phoenix's death, quits the X-Men and returns to the orphanage he grew up in and encounters his friend Sarah. Cyclops suspects foul play of Zebediah Killgrave, Sarah's wealthy benefactor as he begins to adopt mutant children for an unknown purpose."
3,35,9,"""Obsession""",Larry Houston,Adam Gilad,1994-09-24,"Archangel has become obsessed with destroying Apocalypse, whom he blames for ruining his life. Due to absorbing part of Archangel's evil side, Rogue feels obligated to join Archangel in his dangerous quest in hopes of calming him down (despite Gambit's protests). Meanwhile, the X-Men travel to Apocalypse's ship to find an alternate way to stop the immortal mutant madman. Beast bonds with the ship's AI system and constructs a trap, but will Archangel's thirst for vengeance destroy them all?"
3,36,10,"""Longshot""[a]",Larry Houston,Steven Melching & David McDermott,1996-10-05,"Longshot, rebel from another world, tumbles into this world with no memory. He is discovered by Jubilee, who takes a liking to him, and they both find themselves on the run from Mojo and his hunters."
3,37,11,"""Cold Comfort""",Larry Houston,Len Uhley,1995-02-04,"Former X-Man Bobby ""Iceman"" Drake is caught breaking into a top-secret government installation. It is revealed that Iceman was one of the original five X-Men members but due to his rebellious attitude toward authority quits the team to live a normal life with his girlfriend Lorna Dane who mysteriously disappeared. Moved by his plight, Jubilee joins Iceman in returning to the installation to find clues. The X-Men follow suit and find themselves in a skirmish with a government-sponsored mutant team called X-Factor."
3,38,12,"""Savage Land, Strange Heart""",Larry Houston,Robert N. Skir & Marty Isenberg,1994-09-10,"Sauron kidnaps Storm to the Savage Land in order to feed from her mutant energy. Wolverine, Beast, Rogue & Jubilee go after him back to the Savage Land.Garokk fuses with the island's volcano and the surging planetary force below it."
3,39,13,"""Savage Land, Strange Heart""",Larry Houston,Robert N. Skir & Marty Isenberg,1994-09-17,"Sauron kidnaps Storm to the Savage Land in order to feed from her mutant energy. Wolverine, Beast, Rogue & Jubilee go after him back to the Savage Land.Garokk fuses with the island's volcano and the surging planetary force below it."
3,40,14,"""The Dark Phoenix, Part I: Dazzled""",Larry Houston,Jan Strnad,1994-11-12,"The Phoenix continues to inhabit Jean's body. Jean is beginning to lose control and the Phoenix begins to brazenly take over at will. When the Inner Circle Club learn of the Phoenix's power, they use Jason Wyngarde to create a new history in the mind of the confused Jean/Phoenix. While protecting Dazzler, a mutant club singer from being abducted by the Inner Circle, Cyclops and the X-Men get caught in this dangerous affair.As Professor X and Emma Frost battle for psychic control of Jean, the Inner Circle members quarrel over how to dispose of their prisoners, the X-Men. Meanwhile, the Phoenix begins to grow in her thirst for new evil sensations and turns on both the Inner Circle and the X-Men.The transformation of the Dark Phoenix is complete and she begins her rampage. When the X-Men confront the Phoenix and ask it to give up Jean's body, Dark Phoenix vows to destroy the team, defeating them easily. This forces the X-Men to try to figure out a way to expel the Phoenix Force from Jean's body without hurting her.In the Shi'ar court, Lilandra reveals Dark Phoenix's vast destruction of the D'Bari solar system and declares that Dark Phoenix has transformed into the Destroyer of legend and must die. Professor Xavier calls for a Trial of Combat for the custody of Jean Grey/Dark Phoenix which pits the X-Men to battle the Shi'air Imperial Guard on the Blue Area of the Moon as both the fate of Jean's entire being and the universe itself hangs in the balance."
3,41,15,"""The Dark Phoenix, Part II: The Inner Circle""",Larry Houston,Steven Levi,1994-11-12,"The Phoenix continues to inhabit Jean's body. Jean is beginning to lose control and the Phoenix begins to brazenly take over at will. When the Inner Circle Club learn of the Phoenix's power, they use Jason Wyngarde to create a new history in the mind of the confused Jean/Phoenix. While protecting Dazzler, a mutant club singer from being abducted by the Inner Circle, Cyclops and the X-Men get caught in this dangerous affair.As Professor X and Emma Frost battle for psychic control of Jean, the Inner Circle members quarrel over how to dispose of their prisoners, the X-Men. Meanwhile, the Phoenix begins to grow in her thirst for new evil sensations and turns on both the Inner Circle and the X-Men.The transformation of the Dark Phoenix is complete and she begins her rampage. When the X-Men confront the Phoenix and ask it to give up Jean's body, Dark Phoenix vows to destroy the team, defeating them easily. This forces the X-Men to try to figure out a way to expel the Phoenix Force from Jean's body without hurting her.In the Shi'ar court, Lilandra reveals Dark Phoenix's vast destruction of the D'Bari solar system and declares that Dark Phoenix has transformed into the Destroyer of legend and must die. Professor Xavier calls for a Trial of Combat for the custody of Jean Grey/Dark Phoenix which pits the X-Men to battle the Shi'air Imperial Guard on the Blue Area of the Moon as both the fate of Jean's entire being and the universe itself hangs in the balance."
3,42,16,"""The Dark Phoenix, Part III: The Dark Phoenix""",Larry Houston,Larry Parr,1994-11-19,"The Phoenix continues to inhabit Jean's body. Jean is beginning to lose control and the Phoenix begins to brazenly take over at will. When the Inner Circle Club learn of the Phoenix's power, they use Jason Wyngarde to create a new history in the mind of the confused Jean/Phoenix. While protecting Dazzler, a mutant club singer from being abducted by the Inner Circle, Cyclops and the X-Men get caught in this dangerous affair.As Professor X and Emma Frost battle for psychic control of Jean, the Inner Circle members quarrel over how to dispose of their prisoners, the X-Men. Meanwhile, the Phoenix begins to grow in her thirst for new evil sensations and turns on both the Inner Circle and the X-Men.The transformation of the Dark Phoenix is complete and she begins her rampage. When the X-Men confront the Phoenix and ask it to give up Jean's body, Dark Phoenix vows to destroy the team, defeating them easily. This forces the X-Men to try to figure out a way to expel the Phoenix Force from Jean's body without hurting her.In the Shi'ar court, Lilandra reveals Dark Phoenix's vast destruction of the D'Bari solar system and declares that Dark Phoenix has transformed into the Destroyer of legend and must die. Professor Xavier calls for a Trial of Combat for the custody of Jean Grey/Dark Phoenix which pits the X-Men to battle the Shi'air Imperial Guard on the Blue Area of the Moon as both the fate of Jean's entire being and the universe itself hangs in the balance."
3,43,17,"""The Dark Phoenix, Part IV: The Fate of the Phoenix""",Larry Houston,Brooks Wachtel,1994-11-26,"The Phoenix continues to inhabit Jean's body. Jean is beginning to lose control and the Phoenix begins to brazenly take over at will. When the Inner Circle Club learn of the Phoenix's power, they use Jason Wyngarde to create a new history in the mind of the confused Jean/Phoenix. While protecting Dazzler, a mutant club singer from being abducted by the Inner Circle, Cyclops and the X-Men get caught in this dangerous affair.As Professor X and Emma Frost battle for psychic control of Jean, the Inner Circle members quarrel over how to dispose of their prisoners, the X-Men. Meanwhile, the Phoenix begins to grow in her thirst for new evil sensations and turns on both the Inner Circle and the X-Men.The transformation of the Dark Phoenix is complete and she begins her rampage. When the X-Men confront the Phoenix and ask it to give up Jean's body, Dark Phoenix vows to destroy the team, defeating them easily. This forces the X-Men to try to figure out a way to expel the Phoenix Force from Jean's body without hurting her.In the Shi'ar court, Lilandra reveals Dark Phoenix's vast destruction of the D'Bari solar system and declares that Dark Phoenix has transformed into the Destroyer of legend and must die. Professor Xavier calls for a Trial of Combat for the custody of Jean Grey/Dark Phoenix which pits the X-Men to battle the Shi'air Imperial Guard on the Blue Area of the Moon as both the fate of Jean's entire being and the universe itself hangs in the balance."
3,44,18,"""Orphan's End""",Larry Houston,Doug Booth,1995-02-25,"Cyclops discovers that Corsair is his father. Corsair is on the run from Shi'ar authorities, who demand that Cyclops turn him over to them."
3,45,19,"""Love in Vain""",Larry Houston,Martha Moran,1996-02-10,"Wolverine witnesses the crash of a spaceship carrying horrific, humanoid insects—the Colony—which overwhelm him. Meanwhile, Rogue has a run-in with Cody, her first boyfriend, whom she unwillingly drained with a kiss with her developing mutant powers. He offers her a chance to be together again – but at the cost of her humanity. Rogue brings Cody to the headquarters and asks Professor X for some time off to spend a weekend with him (much to Gambit's annoyance). The rest of the X-Men proceed to search for Wolverine and get attacked by the Colony. Wolverine, Cody, and Rogue are infected by Colony spores and they begin to transform into insect-like creatures, but Wolverine manages to successfully reverse the transformation due to his advanced healing abilities. Wolverine lets Rogue absorb his powers so that she can also heal herself. Rogue realizes that Cody deliberately brought her to the Colony so that they could be together as Colony members. Eventually, Professor X helps the X-Men escape by telepathically freeing the creature hosting the Colony. Rogue tries to convince Cody to leave with her, but he is too far gone and is part of the Colony now. As the Colony leaves Earth, Rogue is comforted by Wolverine and Gambit."
4,46,1,"""The Juggernaut Returns""[b]",Larry Houston,Julianne Klemm,1995-05-06,Juggernaut's life is at risk when someone else uncovers the Ruby of Cyttorak and claims the powers of Juggernaut for himself.
4,47,2,"""A Deal with the Devil""[a]",Larry Houston,Eric Lewald,1996-09-14,"Omega Red, the destruction machine from the former Soviet Union and a sworn enemy of Wolverine is thawed and sent two miles beneath the ocean to salvage a disabled, toxic Russian nuclear submarine threatening to break up near Hawaii. His only condition is that Wolverine and Storm go down with him as insurance."
4,48,3,"""Sanctuary""",Larry Houston,Steven Melching & David McDermott,1995-10-21,"Weary of battling for mutant supremacy, Magneto offers to transport all mutants to an orbiting asteroid named Asteroid M where they can live peaceful and human-free lives; however, Fabian Cortez tricks Magneto into an escape pod and launches him into space.As Magneto plummets helplessly to Earth, Fabian Cortez assumes control of Asteroid M and sends hundreds of missiles toward Earth. Meanwhile, Rogue goes to help the X-Men and tries to find a missing Gambit. Magneto frees himself and returns in time to destroy both the missiles and Asteroid M. Everyone escapes before the asteroid is destroyed and they all return home (Gambit included) Meanwhile, Cortez is rescued from the descending asteroid by Deathbird and Apocalypse."
4,49,4,"""Sanctuary""",Larry Houston,Jeff Saylor,1995-10-28,"Weary of battling for mutant supremacy, Magneto offers to transport all mutants to an orbiting asteroid named Asteroid M where they can live peaceful and human-free lives; however, Fabian Cortez tricks Magneto into an escape pod and launches him into space.As Magneto plummets helplessly to Earth, Fabian Cortez assumes control of Asteroid M and sends hundreds of missiles toward Earth. Meanwhile, Rogue goes to help the X-Men and tries to find a missing Gambit. Magneto frees himself and returns in time to destroy both the missiles and Asteroid M. Everyone escapes before the asteroid is destroyed and they all return home (Gambit included) Meanwhile, Cortez is rescued from the descending asteroid by Deathbird and Apocalypse."
4,50,5,"""Xavier Remembers""",Larry Houston,Stephanie Mathison,1996-04-27,"When Professor X suffers a slight concussion, his powerful psychic mind is suddenly open to manipulation. The Shadow King takes advantage of this and takes possession of Xavier, leaving his mind trapped on the Astral Plane."
4,51,6,"""Courage""",Larry Houston,Michael Edens & Sandy Scesny,1995-09-23,"The day Morph rejoins the X-Men, terrorists attack a top-secret, high-tech weapons factory; the alert interrupts his homecoming party."
4,52,7,"""Secrets, Not Long Buried""",Larry Houston,Mark Onspaugh,1996-02-17,"When Cyclops flies solo to a tiny, western, desert community to see an old friend, his plane is blasted out of the sky. Injured and unable to use his powers, he struggles into town, only to discover his friend is missing and the town is caught in the grips of a militant, mutant-only, anti-human hate group: the Children of the Shadow."
4,53,8,"""Nightcrawler""[b]",Larry Houston,Len Uhley,1995-05-13,"Gambit, Rogue, and Wolverine take a ski trip in Germany. While Gambit & Rogue seem to be largely enjoying each other's company and time together, Wolverine is restless and longs for some action. When he hears reports of a demon hiding in a local monastery, his investigation reveals not a demon, but a mutant, Nightcrawler, whose devilish appearance is in stark contrast to his peaceful and deeply philosophical nature. Later the townsfolk attack and burn the monastery. The X-Men convince the townsfolk not to fear what they do not understand, Wolverine, too, learns something about the nature of faith."
4,54,9,"""One Man's Worth""",Larry Houston,Richard Mueller,1995-09-09,"Trevor Fitzroy and Bantam travel back in time to 1959 and kill Professor X as Master Mold ordered them. This creates an alternate present timeline, where a mutant-sentinel war has destroyed everything. Bishop and Shard arrive in 'alternate present', where sentinels battle violently against 'The Leader' Magneto, and his followers who include husband and wife Wolverine and Storm. Bishop & Shard recruit Wolverine & Storm to help stop Fitzroy, but they fail.Failing to stop the assassination of Xavier, Bishop, Shard, Storm & Wolverine travel forward to the future, a future changed so much that Forge's time travel machine has never been tested and Forge has no idea who these four time travelers are. After they convince Forge, they go back a few minutes before Xavier dies and save him. Everything reverts to normal."
4,55,10,"""One Man's Worth""",Larry Houston,Gary Greenfield,1995-09-16,"Trevor Fitzroy and Bantam travel back in time to 1959 and kill Professor X as Master Mold ordered them. This creates an alternate present timeline, where a mutant-sentinel war has destroyed everything. Bishop and Shard arrive in 'alternate present', where sentinels battle violently against 'The Leader' Magneto, and his followers who include husband and wife Wolverine and Storm. Bishop & Shard recruit Wolverine & Storm to help stop Fitzroy, but they fail.Failing to stop the assassination of Xavier, Bishop, Shard, Storm & Wolverine travel forward to the future, a future changed so much that Forge's time travel machine has never been tested and Forge has no idea who these four time travelers are. After they convince Forge, they go back a few minutes before Xavier dies and save him. Everything reverts to normal."
4,56,11,"""Proteus""",Larry Houston,Bruce Reid Schaefer,1995-09-30,"Moira MacTaggert is trying to help her son Kevin (Proteus), but when he escapes from Muir Island she calls on the X-Men for help. Proteus who has never been off the island is wreaking havoc while trying to find his father.When Proteus discovers that his deadbeat dad is a prominent politician, he storms the Union Hall right in the middle of his dad's campaign speech on 'family values.' Proteus tells his father that he is his son, his father denies it and runs off in horror, crying for help. Angered at his father's reaction, Proteus creates havoc, but Professor X later calms him down, and he stops the rampage. Then he goes back to Muir Island with Moira MacTaggert."
4,57,12,"""Proteus""",Larry Houston,Luanne Crocker,1995-10-07,"Moira MacTaggert is trying to help her son Kevin (Proteus), but when he escapes from Muir Island she calls on the X-Men for help. Proteus who has never been off the island is wreaking havoc while trying to find his father.When Proteus discovers that his deadbeat dad is a prominent politician, he storms the Union Hall right in the middle of his dad's campaign speech on 'family values.' Proteus tells his father that he is his son, his father denies it and runs off in horror, crying for help. Angered at his father's reaction, Proteus creates havoc, but Professor X later calms him down, and he stops the rampage. Then he goes back to Muir Island with Moira MacTaggert."
4,58,13,"""Family Ties""",Larry Houston,Marley Clark,1996-05-04,"Shortly after Magneto breaks into the X-Mansion, High Evolutionary and his New Men capture him, Quicksilver, Beast, Wolverine, and Scarlet Witch, to do experiments on them. He also reveals that Magneto is Quicksilver & Scarlet Witch's father. The other X-Men later defeat High Evolutionary and his New Men and save the captured mutants. During this episode, High Evolutionary transformed Wolverine into a werewolf."
4,59,14,"""Bloodlines""",Larry Houston,Len Uhley,1996-10-26,"Nightcrawler gets a mysterious message. He is informed that his birth mother (whom he never knew) is in trouble. He turns to the X-Men for assistance. Jubilee is baffled that Nightcrawler wants to help the mother who abandoned him. Nightcrawler admits there has been pain, but his faith in God has helped him overcome her rejection. The plot thickens when one of the team members recognizes Nightcrawler's mother's voice."
4,60,15,"""Lotus and the Steel""",Larry Houston,Ted Pedersen & Francis Moss,1996-02-03,"Wolverine, losing control, quits the X-Men and returns to the rural Japan of his younger days, in an effort to find himself. He works peacefully with a former spiritual teacher, the monk Oku, to build a temple. But the neighboring village is about to be attacked by bandits, led by the merciless Silver Samurai, unless payment is made. Some of the villagers want to resist and ask Wolverine for help. Wolverine is torn. This is just the sort of thing he had wanted to leave behind. Wolverine bests the Samurai in single combat by taking advantage of Samurai's habit of teleporting behind him: Wolverine anticipates the move and disables the teleportation device, humiliating Samurai."
4,61,16,"""Weapon X, Lies, and Video Tape""[b]",Larry Houston,David McDermott & Steven Melching,1995-06-11,"A cryptic photograph unleashes a flood of maddening and painful memories in Wolverine that threaten to drive him insane. To keep his mind from being torn apart, Wolverine and Beast travel to the one location that may hold the answers to his hidden past; the ruins of the top-secret Weapon X lab where Wolverine's bones were laced with adamantium. There he encounters other former ""test subjects"" – Sabretooth, Maverick, and Silver Fox – who are suffering similar mental breakdowns. Later they find out that many of their memories were implanted, and their true memories are destroyed with the lab."
4,62,17,"""Have Yourself a Morlock Little X-Mas""",Larry Houston,Eric Lewald & Larry Parr,1995-12-23,"As all of the X-Men prepare for a festive Christmas, foster child Jubilee is thrilled. She, Storm, and grouchy humbug Wolverine go last-minute shopping in Manhattan, only to be caught in a life-or-death crisis involving Leech, the littlest Morlock. Leech needs a blood transfusion, so Wolverine's blood is given and then Leech gets better. Additionally, Storm agrees to give back to Callisto her title as the Morlock's official leader."
4,63,18,"""Beyond Good and Evil, Part 1: The End of Time""",Larry Houston,Steve Cuden,1995-11-04,"In 3999, Cable attacks Apocalypse, but Apocalypse steals his time device and uses it to arrive at the axis of time which causes Bishop to be thrown off course and trapped at the axis of time. Present day, Jean and Scott finally get married again. Just as they are driving off after the ceremony, the Nasty Boys kidnap Jean – leaving Scott behind. Shard (Bishop's sister) travels to the present day in search of Bishop and arrives in time to see Mr. Sinister trying to take Xavier.Apocalypse kidnaps another psychic mutant. Lillandra warns Xavier of Apocalypse, and Xavier determines that he is capturing psychics. In anticipation, Shard and Wolverine go to protect Psylocke. Still, she is kidnapped by Magneto and taken to Apocalypse in the axis of time control center. In 3999, Cable reveals a plan to go back in time.Cable uses a time-traveling ship to go back to the past but unbeknownst to him he is thrown off course by Apocalypse. Cable lands in the present. The X-Men decide to help him in destroying Apocalypse's Lazarus Chamber. They go back in time to ancient Cairo however Apocalypse predicted this and uses the opportunity to teleport Xavier to the Axis.Cable and the X-Men destroy the Lazarus Chamber. They then use Cable's computer and Cerebro to trace a homing device on the Professor to the control axis where Apocalypse reveals his plan to use the psychics to destroy all time and recreate a universe, where he will rule unchallenged. Feeling that he was deceived by Apocalypse, Magneto attacks him when Cable arrives and joins the attack. Apocalypse begins draining the psychics which causes time and history to start to disappear. Bishop sees this and releases the psychics. Sinister & the Nasty Boys retreat. The heroes defeat the 4 horsemen of Apocalypse. In the end, the psychics move Apocalypse to the Astral Plane. Using Cable's time and spaceship, everyone else is returned to the present time at the Mansion. Cable travels back to his time."
4,64,19,"""Beyond Good and Evil, Part 2: Promise of Apocalypse""",Larry Houston,Jan Strnad,1995-11-11,"In 3999, Cable attacks Apocalypse, but Apocalypse steals his time device and uses it to arrive at the axis of time which causes Bishop to be thrown off course and trapped at the axis of time. Present day, Jean and Scott finally get married again. Just as they are driving off after the ceremony, the Nasty Boys kidnap Jean – leaving Scott behind. Shard (Bishop's sister) travels to the present day in search of Bishop and arrives in time to see Mr. Sinister trying to take Xavier.Apocalypse kidnaps another psychic mutant. Lillandra warns Xavier of Apocalypse, and Xavier determines that he is capturing psychics. In anticipation, Shard and Wolverine go to protect Psylocke. Still, she is kidnapped by Magneto and taken to Apocalypse in the axis of time control center. In 3999, Cable reveals a plan to go back in time.Cable uses a time-traveling ship to go back to the past but unbeknownst to him he is thrown off course by Apocalypse. Cable lands in the present. The X-Men decide to help him in destroying Apocalypse's Lazarus Chamber. They go back in time to ancient Cairo however Apocalypse predicted this and uses the opportunity to teleport Xavier to the Axis.Cable and the X-Men destroy the Lazarus Chamber. They then use Cable's computer and Cerebro to trace a homing device on the Professor to the control axis where Apocalypse reveals his plan to use the psychics to destroy all time and recreate a universe, where he will rule unchallenged. Feeling that he was deceived by Apocalypse, Magneto attacks him when Cable arrives and joins the attack. Apocalypse begins draining the psychics which causes time and history to start to disappear. Bishop sees this and releases the psychics. Sinister & the Nasty Boys retreat. The heroes defeat the 4 horsemen of Apocalypse. In the end, the psychics move Apocalypse to the Astral Plane. Using Cable's time and spaceship, everyone else is returned to the present time at the Mansion. Cable travels back to his time."
4,65,20,"""Beyond Good and Evil, Part 3: The Lazarus Chamber""",Larry Houston,Michael Edens,1995-11-18,"In 3999, Cable attacks Apocalypse, but Apocalypse steals his time device and uses it to arrive at the axis of time which causes Bishop to be thrown off course and trapped at the axis of time. Present day, Jean and Scott finally get married again. Just as they are driving off after the ceremony, the Nasty Boys kidnap Jean – leaving Scott behind. Shard (Bishop's sister) travels to the present day in search of Bishop and arrives in time to see Mr. Sinister trying to take Xavier.Apocalypse kidnaps another psychic mutant. Lillandra warns Xavier of Apocalypse, and Xavier determines that he is capturing psychics. In anticipation, Shard and Wolverine go to protect Psylocke. Still, she is kidnapped by Magneto and taken to Apocalypse in the axis of time control center. In 3999, Cable reveals a plan to go back in time.Cable uses a time-traveling ship to go back to the past but unbeknownst to him he is thrown off course by Apocalypse. Cable lands in the present. The X-Men decide to help him in destroying Apocalypse's Lazarus Chamber. They go back in time to ancient Cairo however Apocalypse predicted this and uses the opportunity to teleport Xavier to the Axis.Cable and the X-Men destroy the Lazarus Chamber. They then use Cable's computer and Cerebro to trace a homing device on the Professor to the control axis where Apocalypse reveals his plan to use the psychics to destroy all time and recreate a universe, where he will rule unchallenged. Feeling that he was deceived by Apocalypse, Magneto attacks him when Cable arrives and joins the attack. Apocalypse begins draining the psychics which causes time and history to start to disappear. Bishop sees this and releases the psychics. Sinister & the Nasty Boys retreat. The heroes defeat the 4 horsemen of Apocalypse. In the end, the psychics move Apocalypse to the Astral Plane. Using Cable's time and spaceship, everyone else is returned to the present time at the Mansion. Cable travels back to his time."
4,66,21,"""Beyond Good and Evil, Part 4: End and Beginning""",Larry Houston,Dean Stefan,1995-11-25,"In 3999, Cable attacks Apocalypse, but Apocalypse steals his time device and uses it to arrive at the axis of time which causes Bishop to be thrown off course and trapped at the axis of time. Present day, Jean and Scott finally get married again. Just as they are driving off after the ceremony, the Nasty Boys kidnap Jean – leaving Scott behind. Shard (Bishop's sister) travels to the present day in search of Bishop and arrives in time to see Mr. Sinister trying to take Xavier.Apocalypse kidnaps another psychic mutant. Lillandra warns Xavier of Apocalypse, and Xavier determines that he is capturing psychics. In anticipation, Shard and Wolverine go to protect Psylocke. Still, she is kidnapped by Magneto and taken to Apocalypse in the axis of time control center. In 3999, Cable reveals a plan to go back in time.Cable uses a time-traveling ship to go back to the past but unbeknownst to him he is thrown off course by Apocalypse. Cable lands in the present. The X-Men decide to help him in destroying Apocalypse's Lazarus Chamber. They go back in time to ancient Cairo however Apocalypse predicted this and uses the opportunity to teleport Xavier to the Axis.Cable and the X-Men destroy the Lazarus Chamber. They then use Cable's computer and Cerebro to trace a homing device on the Professor to the control axis where Apocalypse reveals his plan to use the psychics to destroy all time and recreate a universe, where he will rule unchallenged. Feeling that he was deceived by Apocalypse, Magneto attacks him when Cable arrives and joins the attack. Apocalypse begins draining the psychics which causes time and history to start to disappear. Bishop sees this and releases the psychics. Sinister & the Nasty Boys retreat. The heroes defeat the 4 horsemen of Apocalypse. In the end, the psychics move Apocalypse to the Astral Plane. Using Cable's time and spaceship, everyone else is returned to the present time at the Mansion. Cable travels back to his time."
5,67,1,"""The Phalanx Covenant""",Larry Houston,Steven Melching & David McDermott,1996-09-07,"The X-Men are attacked by the Phalanx, a race of techno-organic aliens seeking to assimilate all life on Earth. The alien Warlock allies with Beast, Forge, and Mr. Sinister to defeat the Phalanx.  The X-Men are attacked by the Phalanx, a race of techno-organic aliens seeking to assimilate all life on Earth. Warlock, Beast, Forge, and Mr. Sinister are trying to find help but Magneto at first sees this as his chance to watch humanity go down until he learns his son Quicksilver has been captured by the Phalanx."
5,68,2,"""The Phalanx Covenant""",Larry Houston,Steven Melching & David McDermott,1996-09-07,"The X-Men are attacked by the Phalanx, a race of techno-organic aliens seeking to assimilate all life on Earth. The alien Warlock allies with Beast, Forge, and Mr. Sinister to defeat the Phalanx.  The X-Men are attacked by the Phalanx, a race of techno-organic aliens seeking to assimilate all life on Earth. Warlock, Beast, Forge, and Mr. Sinister are trying to find help but Magneto at first sees this as his chance to watch humanity go down until he learns his son Quicksilver has been captured by the Phalanx."
5,69,3,"""Storm Front""",Larry Houston,Mirith Colao,1996-11-02,"The alien Arkon comes to Earth and begs Storm to return with him to his planet, to save it from meteorological chaos which threatens his people. After much pleading, Storm agrees but leaves a clue for the other X-Men to follow. Once successful, Storm is proclaimed savior throughout this universe. Then Arkon asks her to marry him.Spectacular preparations for Storm's wedding to Arkon proceed quickly. Meanwhile, the X-Men discover that Arkon is a ruthless tyrant."
5,70,4,"""Storm Front""",Larry Houston,Brooks Wachtel,1996-11-09,"The alien Arkon comes to Earth and begs Storm to return with him to his planet, to save it from meteorological chaos which threatens his people. After much pleading, Storm agrees but leaves a clue for the other X-Men to follow. Once successful, Storm is proclaimed savior throughout this universe. Then Arkon asks her to marry him.Spectacular preparations for Storm's wedding to Arkon proceed quickly. Meanwhile, the X-Men discover that Arkon is a ruthless tyrant."
5,71,5,"""The Fifth Horseman""",Larry Houston,Steven Melching & David McDermott,1997-02-08,"Fabian Cortez kidnaps Jubilee because Apocalypse is trapped in the Astral Plane and needs a host body. Cortez brings her to a temple, but Beast comes and rescues Jubilee and destroys the temple. In the end, when Apocalypse comes out of a portal, he takes over Cortez's body, transforming it into his form and banishing Cortez from it."
5,72,6,"""Jubilee's Fairytale Theatre""",Larry Houston,Brooks Wachtel,1996-11-16,"Jubilee leads a group of school children on a tour of a cave on Mansion property, only to be caught in a cave-in. As the water in the cave rises, she keeps the kids calm by spinning a medieval fairy tale of knights, princesses, trolls, and dragons. Some of these characters might just seem to resemble the X-Men. As she tells the kids the stories, the real X-Men arrive and save them."
5,73,7,"""Old Soldiers""",Larry Houston,Len Wein,1997-02-22,Wolverine thinks back to the time when he fought during World War II and teamed up with Captain America. Wolverine & Captain America must break into a Nazi establishment to rescue the kidnapped scientist Andre Cocteau and fight the Red Skull.
5,74,8,"""Hidden Agendas""",Larry Houston,Steven Melching & David McDermott,1997-09-06,"Sam Guthrie's parents have contacted Professor Xavier about their son's mutant powers. Rogue goes back to the South to check things out and finds Sam living the life she never had. Family and friends support the young Cannonball, but Rogue must teach him how the rest of the world lives when shadowy Army officials attempt to use the youthful mutant."
5,75,9,"""Descent""",Larry Houston,Steven Melching & David McDermott,1997-09-13,"In London, England's Victorian era, two scientists, Dr. James Xavier and Dr. Nathaniel Essex, hotly debate Charles Darwin's theory of natural selection. Essex believes mutants are the next genetic step forward and begins a bizarre experiment involving mutant evolution. He creates for himself a minion, Jack, to procure mutant organs for him. Essex uses the mutant DNA of Jack’s victims to transform himself. The origin of Mr. Sinister is revealed, as Dr. Xavier attempts to stop Essex before he goes too far."
